"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"  249P/LINEAR",2.77,0.8187,8.40,239.85,64.81,0.502,5.04,4.61,5205,0,884,,,
"  252P/LINEAR",3.047,0.6731,10.42,190.95,343.31,0.996,5.10,5.32,1972,3,122,,,
"  255P/Levy",3.025,0.6720,18.33,279.78,179.59,0.992,5.06,5.26,5484,0,503,,,
"  262P/McNaught-Russell",6.935,0.8154,29.08,218.01,171.17,1.280,12.59,18.3,6706,0,1339,,,
"  263P/Gibbs",3.06,0.5878,11.54,105.81,34.57,1.261,4.86,5.35,6084,0,771,,,
"  273P/Pons-Gambart",32.83,0.9753,136.40,320.43,20.19,0.810,64.85,188,68223,3,1140,,,
"  289P/Blanpain",3.045,0.6851,5.90,68.92,9.85,0.959,5.13,5.31,4029,1,350,0,7,
"  294P/LINEAR",3.194,0.5986,18.54,314.34,234.17,1.282,5.11,5.71,4598,0,233,,,
"  300P/Catalina",2.699,0.6916,5.68,95.69,222.87,0.832,4.57,4.43,3356,0,148,,,
"  306P/LINEAR",3.104,0.5983,8.36,341.50,0.77,1.247,4.96,5.47,4156,0,343,,,
"  317P/WISE",2.957,0.5802,11.96,275.69,334.74,1.241,4.67,5.08,5301,1,93,,,
